Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
RALGAPB	7	7.63e-04	4.90e-02	0.144	0.043	2.88e-03	3.93e-02	2.26e-01	1.03e+00
RASA1	7	4.52e-02	3.91e-01	0.337	0.168	1.49e-08	2.45e-06	2.20e-05	8.10e-03
RBFADN	4	6.74e-05	9.77e-03	-0.19	0.048	2.67e-03	3.70e-02	6.52e-02	7.50e-01
RCAN1	7	6.11e-03	1.60e-01	0.75	0.273	1.23e-12	6.41e-10	7.00e-06	3.93e-03
RCSD1	6	2.21e-06	8.62e-04	0.626	0.132	2.50e-13	1.48e-10	1.00e-05	5.17e-03
RGCC	7	1.03e-04	1.30e-02	-0.284	0.073	5.67e-04	1.23e-02	5.75e-02	7.18e-01
RGS16	7	3.34e-05	5.69e-03	-0.343	0.083	3.82e-10	1.06e-07	1.72e-03	1.30e-01
RGS19	7	1.71e-04	1.82e-02	-0.185	0.049	9.48e-05	3.18e-03	3.15e-02	5.67e-01
RHOBTB3	7	2.28e-04	2.22e-02	0.929	0.252	2.07e-13	1.29e-10	4.00e-06	2.53e-03
RMI2	4	6.81e-09	6.13e-06	0.367	0.063	1.23e-06	9.84e-05	1.08e-02	3.52e-01
RMND5A	7	1.81e-04	1.91e-02	0.151	0.04	8.87e-04	1.69e-02	2.95e-01	1.07e+00
RNF2	6	1.18e-04	1.44e-02	-0.23	0.06	2.48e-03	3.51e-02	2.04e-01	1.01e+00
RPRD1A	7	7.19e-04	4.74e-02	-0.196	0.058	4.11e-08	5.70e-06	3.04e-04	4.62e-02
RRAGB	7	1.51e-06	6.41e-04	0.203	0.042	1.39e-03	2.36e-02	3.85e-01	1.10e+00
RRNAD1	7	1.04e-05	2.28e-03	0.212	0.048	1.11e-04	3.60e-03	5.09e-02	6.88e-01
RRP1	6	3.25e-04	2.79e-02	-0.253	0.07	3.70e-05	1.54e-03	8.39e-03	3.13e-01
SAP30	7	5.16e-03	1.48e-01	0.702	0.251	2.72e-14	2.10e-11	1.00e-06	0.00e+00
SBDS	2	4.01e-06	1.29e-03	-0.355	0.077	8.83e-04	1.69e-02	1.16e-02	3.67e-01
SCRG1	7	2.60e-04	2.40e-02	0.173	0.047	2.60e-08	3.80e-06	3.61e-02	6.05e-01
SEC11A	7	2.04e-04	2.07e-02	0.13	0.035	4.70e-05	1.85e-03	2.48e-02	5.12e-01
SEC14L1	7	7.46e-09	6.34e-06	0.212	0.037	7.24e-06	4.17e-04	4.17e-02	6.45e-01
SEPSECS	6	2.63e-03	1.03e-01	0.415	0.138	8.06e-08	9.73e-06	3.20e-04	4.83e-02
SESN1	7	2.67e-03	1.04e-01	0.963	0.32	4.23e-12	1.94e-09	1.70e-05	6.82e-03
SESTD1	6	4.20e-06	1.29e-03	0.198	0.043	1.88e-03	2.94e-02	2.03e-01	1.01e+00
SETBP1	7	7.57e-05	1.05e-02	-0.136	0.034	1.08e-03	1.96e-02	1.91e-01	1.00e+00
SETD2	7	2.08e-04	2.10e-02	0.146	0.039	1.31e-04	4.03e-03	4.09e-02	6.42e-01
SH2B3	7	3.14e-11	5.87e-08	-0.269	0.041	7.37e-08	9.20e-06	1.36e-02	3.98e-01
SIDT2	7	1.40e-04	1.61e-02	0.208	0.055	4.94e-04	1.11e-02	1.81e-01	9.95e-01
SLA	7	6.04e-04	4.16e-02	0.926	0.27	6.51e-15	6.09e-12	1.00e-06	8.48e-04
SLC22A23	6	4.72e-03	1.44e-01	0.441	0.156	2.12e-08	3.22e-06	2.39e-04	3.95e-02
SLC25A19	6	2.27e-04	2.22e-02	-0.398	0.108	5.06e-07	4.66e-05	1.60e-03	1.25e-01
SLC30A9	7	1.26e-04	1.51e-02	0.146	0.038	3.61e-03	4.55e-02	3.40e-01	1.09e+00
SLC35C2	7	2.52e-07	1.38e-04	0.182	0.035	4.59e-04	1.06e-02	1.56e-01	9.62e-01
SLC35F6	6	7.40e-06	1.98e-03	0.256	0.057	7.99e-04	1.57e-02	1.31e-01	9.21e-01
SLC43A2	6	5.47e-06	1.64e-03	-0.386	0.085	4.08e-06	2.59e-04	5.56e-03	2.54e-01
SLC44A2	6	1.74e-13	3.92e-10	0.413	0.056	1.04e-07	1.20e-05	4.69e-02	6.64e-01
SLC5A3	7	1.82e-03	8.51e-02	-0.664	0.213	1.21e-09	2.72e-07	3.40e-05	1.08e-02
SMAP2	6	1.59e-44	3.57e-40	1.117	0.08	6.90e-28	5.17e-24	1.00e-06	0.00e+00
SMARCE1	7	4.08e-04	3.20e-02	0.146	0.041	3.37e-04	8.45e-03	8.54e-02	8.16e-01
SMC4	7	2.17e-04	2.15e-02	0.119	0.032	1.01e-04	3.35e-03	6.54e-02	7.50e-01
SMIM3	6	3.31e-06	1.18e-03	1.56	0.335	9.09e-31	1.02e-26	1.00e-06	0.00e+00
SNAPC1	6	3.70e-09	3.78e-06	-0.412	0.07	5.69e-04	1.23e-02	5.50e-02	7.03e-01
SNORD51	2	7.41e-06	1.98e-03	-0.472	0.105	1.75e-03	2.80e-02	2.53e-02	5.13e-01
SNTB2	7	1.05e-03	6.10e-02	0.585	0.178	3.07e-09	6.06e-07	6.00e-06	3.55e-03
SOCS1	7	1.17e-07	7.54e-05	1.306	0.247	6.38e-19	1.59e-15	1.00e-06	8.48e-04
SPRED1	6	5.02e-04	3.65e-02	-0.209	0.06	9.97e-04	1.84e-02	1.66e-01	9.77e-01
SPRY4	7	3.73e-02	3.62e-01	0.535	0.257	2.54e-07	2.66e-05	1.59e-04	3.20e-02
SPSB3	7	2.54e-08	1.90e-05	0.228	0.041	1.62e-04	4.77e-03	7.69e-02	7.93e-01
SRFBP1	6	1.40e-04	1.61e-02	-0.194	0.051	9.39e-04	1.76e-02	1.41e-01	9.39e-01
ST3GAL6	7	3.33e-01	7.69e-01	0.44	0.455	1.54e-05	7.60e-04	7.30e-05	1.89e-02
STAMBPL1	5	6.78e-09	6.13e-06	-0.381	0.066	1.44e-09	3.08e-07	5.49e-04	6.67e-02
SUCLG2	7	7.76e-05	1.06e-02	0.211	0.053	2.56e-03	3.61e-02	2.48e-01	1.05e+00
SUMF2	6	1.59e-04	1.73e-02	0.149	0.04	9.96e-04	1.84e-02	1.33e-01	9.24e-01
SUPT7L	6	1.29e-06	5.78e-04	0.203	0.042	2.17e-03	3.21e-02	1.72e-01	9.84e-01
SYS1	3	7.17e-04	4.74e-02	0.323	0.095	9.97e-04	1.84e-02	1.02e-01	8.58e-01
SYTL3	6	4.59e-03	1.41e-01	0.639	0.225	1.16e-08	2.00e-06	1.88e-04	3.46e-02
TAF8	5	3.51e-02	3.55e-01	0.4	0.19	6.37e-08	8.18e-06	4.60e-05	1.34e-02
TAGAP	6	7.45e-01	9.39e-01	0.081	0.248	1.89e-03	2.95e-02	6.10e-05	1.66e-02
TBC1D22B	7	5.50e-07	2.74e-04	0.187	0.037	4.62e-05	1.83e-03	2.65e-02	5.27e-01
TBC1D4	7	3.85e-04	3.12e-02	-0.333	0.094	1.35e-06	1.06e-04	1.01e-02	3.38e-01
TBCD	7	6.69e-04	4.48e-02	0.211	0.062	3.78e-06	2.43e-04	2.30e-03	1.55e-01
TCEB1	7	1.99e-04	2.04e-02	-0.176	0.047	1.29e-04	3.96e-03	3.68e-02	6.11e-01
TFPI	7	2.46e-04	2.29e-02	0.726	0.198	2.95e-10	8.63e-08	4.40e-05	1.32e-02
THBS1	7	2.57e-05	4.73e-03	1.109	0.264	2.96e-09	5.89e-07	7.25e-04	7.91e-02
TICAM1	7	3.04e-04	2.65e-02	-0.139	0.039	2.76e-03	3.80e-02	2.85e-01	1.07e+00
TIPARP	7	8.46e-07	4.13e-04	0.31	0.063	4.94e-07	4.59e-05	3.67e-03	2.06e-01
TLR9	6	1.16e-04	1.44e-02	-0.161	0.042	1.95e-03	3.00e-02	2.90e-01	1.07e+00
TMEM2	7	1.86e-03	8.63e-02	0.55	0.177	5.93e-13	3.33e-10	6.90e-05	1.80e-02
TMEM217	6	9.94e-08	6.57e-05	0.261	0.049	7.03e-10	1.77e-07	7.62e-03	2.96e-01
TMEM243	7	2.26e-04	2.22e-02	0.426	0.115	1.24e-13	8.43e-11	6.10e-05	1.66e-02
TMEM65	6	1.59e-04	1.73e-02	-0.198	0.052	1.32e-04	4.04e-03	5.25e-02	6.89e-01
TMOD1	7	9.21e-05	1.18e-02	0.224	0.057	1.66e-04	4.84e-03	1.19e-01	9.00e-01
TNF	7	5.43e-05	8.14e-03	-0.563	0.139	2.33e-18	4.76e-15	1.30e-05	5.73e-03
TNFSF8	6	2.11e-02	2.84e-01	1.668	0.723	5.37e-15	5.49e-12	1.00e-06	0.00e+00
TPCN1	7	4.98e-04	3.64e-02	-0.349	0.1	2.88e-06	1.97e-04	9.42e-03	3.27e-01
TPRG1L	6	7.20e-05	1.02e-02	0.177	0.045	6.85e-05	2.49e-03	1.04e-01	8.63e-01
TRAF3IP2	7	5.76e-03	1.56e-01	0.43	0.156	4.47e-08	6.16e-06	1.63e-04	3.21e-02
TRAF3IP2-AS1	3	6.28e-05	9.24e-03	0.219	0.055	3.43e-03	4.37e-02	9.92e-02	8.46e-01
TRAF4	7	7.36e-04	4.78e-02	-0.132	0.039	1.14e-05	6.02e-04	7.28e-03	2.89e-01
TRAM2	7	2.58e-06	9.82e-04	0.581	0.124	1.47e-12	7.19e-10	2.00e-06	1.47e-03
TRIB1	7	4.57e-03	1.41e-01	0.912	0.322	7.76e-19	1.74e-15	1.00e-06	0.00e+00
TRIM22	6	2.23e-06	8.62e-04	0.344	0.073	3.19e-03	4.18e-02	2.18e-01	1.03e+00
TRIM8	7	7.90e-09	6.34e-06	-0.304	0.053	4.93e-09	9.32e-07	1.09e-03	1.01e-01
TRUB1	6	2.37e-03	9.76e-02	-0.239	0.079	2.92e-08	4.18e-06	1.73e-04	3.29e-02
TSC22D3	7	1.38e-14	3.45e-11	2.838	0.369	6.75e-38	1.52e-33	1.00e-06	0.00e+00
TSHZ3	6	1.60e-02	2.55e-01	0.545	0.226	5.43e-09	1.02e-06	2.28e-04	3.79e-02
TSPAN3	7	3.72e-10	4.92e-07	0.244	0.039	4.91e-06	3.06e-04	1.42e-02	4.04e-01
TSPAN6	7	5.45e-04	3.86e-02	-0.102	0.03	2.97e-03	3.99e-02	2.55e-01	1.05e+00
TTC19	6	1.06e-09	1.33e-06	0.275	0.045	3.02e-05	1.32e-03	1.40e-02	4.01e-01
TUBA4A	7	5.64e-03	1.55e-01	0.457	0.165	2.03e-09	4.22e-07	3.10e-05	1.06e-02
TWSG1	7	3.53e-05	5.93e-03	0.217	0.053	9.67e-05	3.23e-03	2.23e-01	1.03e+00
TXN	7	5.54e-04	3.91e-02	0.195	0.056	1.88e-03	2.94e-02	1.70e-01	9.82e-01
TXNIP	7	1.07e-14	3.02e-11	0.814	0.105	2.42e-22	7.76e-19	1.00e-06	0.00e+00
UBAP2L	7	5.14e-04	3.71e-02	-0.13	0.037	2.35e-03	3.39e-02	1.73e-01	9.85e-01
UBASH3B	6	7.51e-03	1.79e-01	0.971	0.363	4.66e-12	2.09e-09	1.00e-06	8.48e-04
UBL3	7	2.67e-04	2.42e-02	0.246	0.067	1.57e-05	7.68e-04	1.06e-03	1.00e-01
UBN2	6	6.70e-04	4.48e-02	0.105	0.031	3.51e-03	4.45e-02	1.02e-01	8.57e-01
UBR2	7	5.49e-04	3.88e-02	0.195	0.056	1.16e-03	2.06e-02	9.31e-02	8.31e-01
USP32P1	2	7.21e-06	1.98e-03	-0.412	0.092	9.57e-04	1.79e-02	1.32e-02	3.93e-01
USP38	6	7.19e-06	1.98e-03	0.175	0.039	2.61e-04	7.00e-03	9.13e-02	8.28e-01
USP53	7	7.29e-03	1.77e-01	1.009	0.376	1.71e-13	1.13e-10	3.00e-06	2.01e-03
VCPIP1	7	2.75e-06	1.03e-03	0.161	0.034	2.67e-04	7.10e-03	1.00e-01	8.49e-01
VPS35	7	7.09e-11	1.23e-07	-0.22	0.034	2.90e-06	1.97e-04	9.03e-03	3.21e-01
VTA1	5	1.13e-05	2.44e-03	-0.162	0.037	5.90e-04	1.27e-02	7.82e-02	7.97e-01
WASL	7	2.38e-04	2.25e-02	0.228	0.062	4.37e-04	1.02e-02	1.11e-01	8.81e-01
WDR37	7	2.98e-04	2.62e-02	0.202	0.056	1.17e-04	3.73e-03	5.13e-02	6.89e-01
WDR45	7	2.36e-05	4.38e-03	0.147	0.035	1.58e-03	2.60e-02	2.06e-01	1.01e+00
WFS1	7	8.06e-04	5.06e-02	0.688	0.205	6.86e-10	1.75e-07	9.80e-05	2.37e-02
WWP1	7	1.72e-05	3.33e-03	-0.166	0.039	3.91e-05	1.60e-03	3.48e-02	5.94e-01
YAF2	6	1.80e-03	8.49e-02	0.562	0.18	1.74e-10	5.60e-08	6.00e-06	3.55e-03
YOD1	7	3.21e-02	3.42e-01	0.448	0.209	2.57e-11	9.96e-09	4.00e-06	2.53e-03
YPEL1	7	1.88e-03	8.66e-02	0.521	0.168	2.96e-08	4.21e-06	5.30e-05	1.49e-02
ZDHHC9	6	2.61e-01	7.16e-01	-0.188	0.167	6.87e-06	3.98e-04	2.25e-04	3.80e-02
ZFP36L1	7	9.49e-06	2.21e-03	-0.255	0.058	1.43e-09	3.08e-07	1.50e-04	3.15e-02
ZFP36L2	7	4.60e-04	3.45e-02	0.564	0.161	1.93e-08	2.99e-06	1.09e-04	2.52e-02
ZKSCAN1	6	1.10e-06	5.16e-04	0.246	0.05	7.18e-04	1.46e-02	9.69e-02	8.39e-01
ZMIZ1	7	3.38e-18	1.90e-14	-0.381	0.044	1.98e-10	6.18e-08	4.90e-05	1.39e-02
ZNF791	5	1.90e-07	1.07e-04	0.302	0.058	6.26e-07	5.60e-05	8.64e-04	8.99e-02
ZNRD1	6	2.63e-04	2.40e-02	0.16	0.044	1.81e-03	2.86e-02	2.08e-01	1.02e+00
