Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
SOX4	12	7.64e-03	1.83e-01	-0.404	0.152	1.91e-24	1.04e-21	9.00e-06	3.25e-03
SP110	12	3.96e-01	8.09e-01	0.143	0.168	2.05e-08	1.25e-06	3.00e-05	7.71e-03
SPSB3	11	1.19e-04	2.25e-02	0.182	0.047	6.00e-06	1.84e-04	6.66e-02	6.89e-01
ST3GAL1	12	7.77e-02	4.72e-01	-0.194	0.11	6.78e-03	4.97e-02	7.00e-05	1.47e-02
ST3GAL5	12	8.62e-01	9.72e-01	-0.026	0.151	2.53e-03	2.39e-02	2.74e-04	3.80e-02
ST3GAL6	12	9.17e-02	5.04e-01	0.506	0.3	2.33e-13	3.61e-11	2.30e-05	6.45e-03
STAT1	13	1.37e-03	8.38e-02	-0.438	0.137	1.23e-18	3.88e-16	2.00e-05	5.93e-03
STIM1	13	2.02e-03	9.99e-02	0.364	0.118	2.57e-13	3.94e-11	6.90e-05	1.47e-02
STK24	13	1.15e-04	2.23e-02	0.152	0.04	3.36e-05	7.67e-04	2.69e-01	1.06e+00
STK38L	12	4.17e-01	8.19e-01	0.077	0.095	2.73e-04	4.21e-03	2.75e-04	3.79e-02
SUMF2	9	2.86e-06	1.62e-03	0.144	0.031	2.22e-03	2.17e-02	3.93e-01	1.11e+00
SVIL	13	2.55e-04	3.48e-02	-0.264	0.072	2.48e-12	3.11e-10	5.06e-02	6.27e-01
TAGAP	8	7.19e-01	9.33e-01	0.053	0.147	3.65e-03	3.14e-02	2.01e-04	3.06e-02
TDRD9	9	2.88e-04	3.66e-02	0.224	0.062	2.50e-05	6.06e-04	1.16e-01	8.36e-01
THBS1	12	1.93e-05	6.52e-03	0.775	0.181	2.50e-20	1.02e-17	1.00e-06	0.00e+00
TIPARP	12	6.10e-04	5.63e-02	0.859	0.251	7.36e-32	9.52e-29	1.00e-05	3.42e-03
TIPIN	11	4.07e-04	4.67e-02	-0.137	0.039	7.17e-04	8.99e-03	3.36e-01	1.09e+00
TJP2	12	4.17e-01	8.19e-01	0.136	0.167	8.81e-13	1.21e-10	2.89e-04	3.84e-02
TMED10	13	4.15e-04	4.71e-02	0.127	0.036	1.39e-03	1.51e-02	5.25e-01	1.15e+00
TMEM100	11	1.56e-04	2.72e-02	0.498	0.132	2.90e-10	2.59e-08	2.61e-02	4.67e-01
TMEM187	12	4.23e-04	4.76e-02	0.106	0.03	5.14e-03	4.07e-02	7.11e-01	1.14e+00
TMEM251	11	2.09e-04	3.21e-02	-0.143	0.039	4.55e-03	3.71e-02	5.08e-01	1.14e+00
TNFAIP2	10	1.41e-04	2.55e-02	-0.602	0.158	7.89e-12	8.96e-10	2.14e-03	1.33e-01
TNFSF10	12	1.76e-02	2.59e-01	-0.353	0.149	1.94e-12	2.54e-10	2.50e-05	6.69e-03
TNFSF8	9	1.58e-02	2.49e-01	1.155	0.478	2.59e-14	4.89e-12	2.00e-06	1.01e-03
TRAM2	13	5.41e-03	1.58e-01	0.305	0.11	2.98e-12	3.67e-10	8.00e-06	3.03e-03
TRIM2	12	8.92e-05	1.94e-02	-0.308	0.079	7.22e-11	7.06e-09	1.82e-02	4.05e-01
TRIM35	7	8.24e-06	3.55e-03	0.197	0.044	1.37e-03	1.49e-02	2.89e-01	1.07e+00
TRUB1	9	4.55e-05	1.25e-02	-0.216	0.053	9.56e-10	7.86e-08	1.78e-04	2.74e-02
TSC22D3	12	1.88e-27	4.38e-23	2.711	0.25	7.96e-92	1.85e-87	1.00e-06	0.00e+00
TSHZ3	9	1.51e-01	6.00e-01	0.217	0.151	1.56e-07	7.62e-06	9.80e-05	1.81e-02
TUBA4A	13	6.75e-01	9.19e-01	0.072	0.172	3.96e-07	1.74e-05	6.60e-05	1.42e-02
TXNRD1	13	3.15e-01	7.60e-01	-0.144	0.144	6.74e-08	3.57e-06	3.91e-04	4.70e-02
TYMP	11	3.95e-01	8.07e-01	-0.147	0.172	8.51e-06	2.43e-04	8.10e-05	1.63e-02
UAP1	13	3.92e-01	8.05e-01	-0.083	0.096	1.18e-09	9.57e-08	1.13e-04	1.96e-02
UBE2E1	13	1.02e-04	2.11e-02	-0.127	0.033	1.73e-04	2.89e-03	4.54e-01	1.13e+00
UCHL3	12	9.66e-06	4.09e-03	-0.211	0.048	4.32e-06	1.38e-04	5.08e-02	6.28e-01
VCPIP1	11	3.93e-04	4.59e-02	0.131	0.037	8.54e-05	1.63e-03	2.11e-01	1.01e+00
VEGFA	12	2.44e-04	3.40e-02	-0.281	0.077	1.11e-09	9.01e-08	7.82e-03	2.59e-01
VPS13D	12	2.21e-04	3.28e-02	0.176	0.048	6.23e-09	4.33e-07	1.70e-02	3.87e-01
VTA1	7	8.21e-07	6.43e-04	-0.165	0.033	7.82e-06	2.26e-04	1.50e-02	3.66e-01
WASL	12	4.73e-06	2.29e-03	0.208	0.045	2.92e-06	9.88e-05	6.35e-02	6.79e-01
WBP1L	13	2.32e-04	3.36e-02	0.302	0.082	2.82e-10	2.53e-08	9.54e-03	2.88e-01
WDFY2	9	2.84e-04	3.63e-02	-0.188	0.052	1.95e-04	3.20e-03	3.01e-01	1.07e+00
WDR37	12	2.53e-04	3.46e-02	0.163	0.044	5.56e-06	1.72e-04	3.40e-02	5.25e-01
WFS1	12	1.17e-02	2.19e-01	0.403	0.16	6.14e-10	5.26e-08	1.55e-04	2.49e-02
WIPI1	12	2.45e-02	3.00e-01	0.297	0.132	8.90e-11	8.60e-09	8.90e-05	1.72e-02
WWP1	13	2.57e-06	1.53e-03	-0.144	0.031	1.55e-05	4.04e-04	1.68e-01	9.44e-01
YAF2	11	8.39e-04	6.60e-02	0.384	0.115	6.65e-12	7.73e-10	3.80e-05	9.26e-03
YOD1	11	5.10e-02	4.05e-01	0.306	0.157	1.01e-10	9.67e-09	1.90e-05	5.74e-03
ZBTB16	12	4.16e-09	1.08e-05	1.535	0.261	8.65e-53	2.88e-49	1.30e-05	4.23e-03
ZCCHC6	11	3.45e-03	1.27e-01	0.495	0.169	5.95e-17	1.48e-14	7.90e-05	1.61e-02
ZDHHC9	9	6.80e-01	9.21e-01	0.066	0.161	4.67e-05	9.98e-04	6.00e-06	2.41e-03
ZFP36	13	3.85e-02	3.60e-01	0.321	0.155	5.69e-16	1.27e-13	2.26e-04	3.31e-02
ZFP36L2	12	3.24e-02	3.37e-01	0.304	0.142	4.97e-11	4.97e-09	8.00e-06	3.03e-03
ZMIZ1	13	7.93e-07	6.43e-04	-0.356	0.072	9.97e-01	1.00e+00	3.00e-06	1.42e-03
ZNF791	7	4.21e-07	3.63e-04	0.265	0.052	2.11e-07	9.92e-06	2.53e-03	1.44e-01
